"Y"	"lon"	"lat"
"1"	0.333719743945951	0.57	0.06
"2"	0.111670040042722	0.14	0.05
"3"	0.0165605809185764	0.88	0.15
"4"	-0.338711351526275	0.58	0.89
"5"	-0.0515105368023591	0.34	0.36
"6"	0.0704075042980442	0.84	0.15
"7"	0.0154661581698508	0.99	0.55
"8"	-0.0620917969684658	0	0.45
"9"	-0.326272292430265	0.58	0.61
"10"	0.0017701786682025	0.85	0.79
"11"	-0.22443794917369	0.69	0.78
"12"	0.0309610446956584	0	0.71
"13"	0.0289954184821706	0.19	1
"14"	-0.342603644900696	0.62	0.8
"15"	-0.155816086026525	0.2	0.54
"16"	-0.116896794273347	0.92	0.41
"17"	-0.0210915469347578	0.03	0.41
"18"	0.00306395563439998	0.14	0.79
"19"	0.157474681815536	0.71	0.21
"20"	0.167550559575848	0.76	0.17
"21"	-0.0279084574174978	0.59	0.35
"22"	-0.0097205084896802	0.16	0.89
"23"	-0.398227780880422	0.54	0.78
"24"	0.0433163617834996	0.39	0.26
"25"	-0.0519777604966902	0	0.48
"26"	-0.268004528703063	0.59	0.93
"27"	0.216098833361016	0.22	0.07
"28"	-0.371921710010006	0.52	0.59
"29"	-0.108449310478479	0.89	0.36
"30"	0.0164788155071044	0.62	0.33
"31"	-0.0752513602711111	0.81	0.82
"32"	-0.182168026621876	0.99	0.22
"33"	-0.171123581137725	0.41	0.38
"34"	0.0658287747365972	0.04	0.75
"35"	-0.0652063068888055	0.43	0.33
"36"	-0.205809945153402	1	0.28
"37"	-0.219975393958524	0.29	0.57
"38"	-0.329887667252627	0.51	0.56
"39"	0.0711116318700364	0.29	0.3
"40"	0.125461276503243	0.09	0.27
"41"	0.29725666537279	0.61	0.16
"42"	0.0697982365839491	0.39	0.24
"43"	-0.199660520563642	0.17	0.68
"44"	0.126626652691053	0.06	0.25
"45"	0.207695112204633	0.51	0.14
"46"	-0.123651402984206	0.78	0.83
"47"	-0.242629013221736	0.54	0.96
"48"	-0.278231696972989	0.45	0.46
"49"	0.237496140347414	0.98	0.74
"50"	0.138690438043306	0.12	0.1
